Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
44,"B Yu, Y Lee, K Sohn",Forecasting road traffic speeds by considering area-wide spatio-temporal dependencies based on a graph convolutional neural network (GCN),218,2020, Elsevier, Transportation research part C: emerging …,https://www.sciencedirect.com/science/article/pii/S0968090X19312434,36
40,"K Lee, W Rhee",DDP-GCN: Multi-graph convolutional network for spatiotemporal traffic forecasting,132,2022, Elsevier, Transportation Research Part C: Emerging …,https://www.sciencedirect.com/science/article/pii/S0968090X21004538,33
77,"W Liang, Y Li, K Xie, D Zhang, KC Li…",Spatial-temporal aware inductive graph neural network for C-ITS data recovery,132,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9733959/,33
87,"W Lin, D Wu, B Boulet",Spatial-temporal residential short-term load forecasting via graph neural networks,162,2021, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,https://ieeexplore.ieee.org/abstract/document/9468666/,32
7,"X Ta, Z Liu, X Hu, L Yu, L Sun, B Du",Adaptive spatio-temporal graph neural network for traffic forecasting,128,2022, Elsevier,based systems,https://www.sciencedirect.com/science/article/pii/S0950705122000508,32
5,"Q Zhang, K Yu, Z Guo, S Garg…",Graph neural network-driven traffic forecasting for the connected internet of vehicles,158,2021, ieeexplore.ieee.org, … on Network Science …,https://ieeexplore.ieee.org/abstract/document/9618828/,32
2,"W Jiang, J Luo, M He, W Gu",Graph neural network for traffic forecasting: The research progress,89,2023, mdpi.com, ISPRS International Journal of Geo …,https://www.mdpi.com/2220-9964/12/3/100,30
12,"F Zhou, Q Yang, T Zhong, D Chen…",Variational graph neural networks for road traffic prediction in intelligent transportation systems,161,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9140389/,27
47,"C Diao, D Zhang, W Liang, KC Li…",A novel spatial-temporal multi-scale alignment graph neural network security model for vehicles prediction,108,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9686622/,27
76,"C Zheng, X Fan, S Pan, H Jin, Z Peng…",Spatio-temporal joint graph convolutional networks for traffic forecasting,74,2023, ieeexplore.ieee.org, … on Knowledge and …,https://ieeexplore.ieee.org/abstract/document/10151673/,25
32,"F Huang, P Yi, J Wang, M Li, J Peng, X Xiong",A dynamical spatial-temporal graph neural network for traffic demand prediction,95,2022, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025522001669,24
74,"Y Djenouri, A Belhadi, G Srivastava, JCW Lin",Hybrid graph convolution neural network and branch-and-bound optimization for traffic flow forecasting,72,2023, Elsevier, Future Generation …,https://www.sciencedirect.com/science/article/pii/S0167739X22003028,24
